Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2017,11,09,21.8,1,Y
IDCJAC0010,086338,2017,11,10,27.2,1,Y
IDCJAC0010,086338,2017,11,11,24.7,1,Y
IDCJAC0010,086338,2017,11,12,23.3,1,Y
IDCJAC0010,086338,2017,11,13,33.0,1,Y
IDCJAC0010,086338,2017,11,14,33.9,1,Y
IDCJAC0010,086338,2017,11,15,31.4,1,Y
IDCJAC0010,086338,2017,11,16,21.3,1,Y
IDCJAC0010,086338,2017,11,17,26.8,1,Y
IDCJAC0010,086338,2017,11,18,28.1,1,Y
IDCJAC0010,086338,2017,11,19,29.3,1,Y
IDCJAC0010,086338,2017,11,20,30.8,1,Y
IDCJAC0010,086338,2017,11,21,32.9,1,Y
IDCJAC0010,086338,2017,11,22,32.6,1,Y
IDCJAC0010,086338,2017,11,23,31.9,1,Y
IDCJAC0010,086338,2017,11,24,30.7,1,Y
IDCJAC0010,086338,2017,11,25,32.5,1,Y
IDCJAC0010,086338,2017,11,26,28.3,1,Y
IDCJAC0010,086338,2017,11,27,21.2,1,Y
IDCJAC0010,086338,2017,11,28,31.0,1,Y
IDCJAC0010,086338,2017,11,29,35.8,1,Y
IDCJAC0010,086338,2017,11,30,34.9,1,Y
IDCJAC0010,086338,2017,12,01,23.5,1,Y
IDCJAC0010,086338,2017,12,02,16.4,1,Y
IDCJAC0010,086338,2017,12,03,17.1,1,Y
IDCJAC0010,086338,2017,12,04,17.5,1,Y
IDCJAC0010,086338,2017,12,05,22.8,1,Y
IDCJAC0010,086338,2017,12,06,21.3,1,Y
IDCJAC0010,086338,2017,12,07,21.9,1,Y
IDCJAC0010,086338,2017,12,08,18.7,1,Y
IDCJAC0010,086338,2017,12,09,23.0,1,Y
IDCJAC0010,086338,2017,12,10,22.2,1,Y
IDCJAC0010,086338,2017,12,11,20.7,1,Y
IDCJAC0010,086338,2017,12,12,26.4,1,Y
IDCJAC0010,086338,2017,12,13,37.6,1,Y
IDCJAC0010,086338,2017,12,14,23.1,1,Y
IDCJAC0010,086338,2017,12,15,26.4,1,Y
IDCJAC0010,086338,2017,12,16,24.6,1,Y
IDCJAC0010,086338,2017,12,17,24.5,1,Y
IDCJAC0010,086338,2017,12,18,33.0,1,Y
IDCJAC0010,086338,2017,12,19,37.4,1,Y
IDCJAC0010,086338,2017,12,20,24.5,1,Y
IDCJAC0010,086338,2017,12,21,23.7,1,Y
IDCJAC0010,086338,2017,12,22,27.7,1,Y
IDCJAC0010,086338,2017,12,23,30.2,1,Y
IDCJAC0010,086338,2017,12,24,19.4,1,Y
IDCJAC0010,086338,2017,12,25,21.4,1,Y
IDCJAC0010,086338,2017,12,26,30.5,1,Y
IDCJAC0010,086338,2017,12,27,34.5,1,Y
IDCJAC0010,086338,2017,12,28,32.8,1,Y
IDCJAC0010,086338,2017,12,29,24.4,1,Y
IDCJAC0010,086338,2017,12,30,21.3,1,Y
IDCJAC0010,086338,2017,12,31,25.7,1,Y
